application-body/@lang	pat:ApplicationBody/@com:languageCode
application-body/abstract/@id	pat:ApplicationBody/pat:Abstract/@com:id
application-body/abstract/@lang	pat:ApplicationBody/pat:Abstract/@com:languageCode
application-body/abstract/doc-page	pat:ApplicationBody/pat:Abstract/pat:DocumentURI
application-body/abstract/p	pat:ApplicationBody/pat:Abstract/com:P
application-body/drawings	pat:ApplicationBody/pat:Drawings
application-body/drawings/@id	pat:ApplicationBody/pat:Drawings/@com:id
application-body/drawings/doc-page	pat:ApplicationBody/pat:Drawings/pat:DocumentURI
application-body/drawings/figure	pat:ApplicationBody/pat:Drawings/pat:Figure
b	com:B
b/text()	com:B/text()
b/i	com:B/com:I
b/i/text()	com:B/com:I/text()
b/i/b	com:B/com:I/com:B
b/i/b/text()	com:B/com:I/com:B/text()
b/i/u	com:B/com:I/com:U
b/i/u/text()	com:B/com:I/com:U/text()
b/i/o	com:B/com:I/com:O
b/i/o/text()	com:B/com:I/com:O/text()
b/i/sup	com:B/com:I/com:Sup
b/i/sup/text()	com:B/com:I/com:Sup/text()
b/i/sub	com:B/com:I/com:Sub
b/i/sub/text()	com:B/com:I/com:Sub/text()
b/u	com:B/com:U
b/u/text()	com:B/com:U/text()
b/u/b	com:B/com:U/com:B
b/u/b/text()	com:B/com:U/com:B/text()
b/u/i	com:B/com:U/com:I
b/u/i/text()	com:B/com:U/com:I/text()
b/u/sup	com:B/com:U/com:Sup
b/u/sup/text()	com:B/com:U/com:Sup/text()
b/u/sub	com:B/com:U/com:Sub
b/u/sub/text()	com:B/com:U/com:Sub/text()
b/o	com:B/com:O
b/o/text()	com:B/com:O/text()
b/o/b	com:B/com:O/com:B
b/o/b/text()	com:B/com:O/com:B/text()
b/o/i	com:B/com:O/com:I
b/o/i/text()	com:B/com:O/com:I/text()
b/o/sup	com:B/com:O/com:Sup
b/o/sup/text()	com:B/com:O/com:Sup/text()
b/o/sub	com:B/com:O/com:Sub
b/o/sub/text()	com:B/com:O/com:Sub/text()
b/smallcaps	com:B/com:SmallCapital
b/smallcaps/text()	com:B/com:SmallCapital/text()
b/smallcaps/b	com:B/com:SmallCapital/com:B
b/smallcaps/b/text()	com:B/com:SmallCapital/com:B/text()
b/smallcaps/u	com:B/com:SmallCapital/com:U
b/smallcaps/u/text()	com:B/com:SmallCapital/com:U/text()
b/smallcaps/i	com:B/com:SmallCapital/com:I
b/smallcaps/i/text()	com:B/com:SmallCapital/com:I/text()
b/smallcaps/o	com:B/com:SmallCapital/com:O
b/smallcaps/o/text()	com:B/com:SmallCapital/com:O/text()
b/sup/b	com:B/com:Sup/com:B
b/sup/b/text()	com:B/com:Sup/com:B/text()
b/sup/u	com:B/com:Sup/com:U
b/sup/u/text()	com:B/com:Sup/com:U/text()
b/sup/i	com:B/com:Sup/com:I
b/sup/i/text()	com:B/com:Sup/com:I/text()
b/sup/o	com:B/com:Sup/com:O
b/sup/o/text()	com:B/com:Sup/com:O/text()
b/sup/sup2	com:B/com:Sup/com:Sup2
b/sup/sup2/text()	com:B/com:Sup/com:Sup2/text()
b/sup/sup2/b	com:B/com:Sup/com:Sup2/com:B
b/sup/sup2/b/text()	com:B/com:Sup/com:Sup2/com:B/text()
b/sup/sup2/u	com:B/com:Sup/com:Sup2/com:U
b/sup/sup2/u/text()	com:B/com:Sup/com:Sup2/com:U/text()
b/sup/sup2/i	com:B/com:Sup/com:Sup2/com:I
b/sup/sup2/i/text()	com:B/com:Sup/com:Sup2/com:I/text()
b/sup/sup2/o	com:B/com:Sup/com:Sup2/com:O
b/sup/sup2/o/text()	com:B/com:Sup/com:Sup2/com:O/text()
b/sup/sub2	com:B/com:Sup/com:Sub2
b/sup/sub2/text()	com:B/com:Sup/com:Sub2/text()
b/sup/sub2/b	com:B/com:Sup/com:Sub2/com:B
b/sup/sub2/b/text()	com:B/com:Sup/com:Sub2/com:B/text()
b/sup/sub2/u	com:B/com:Sup/com:Sub2/com:U
b/sup/sub2/u/text()	com:B/com:Sup/com:Sub2/com:U/text()
b/sup/sub2/i	com:B/com:Sup/com:Sub2/com:I
b/sup/sub2/i/text()	com:B/com:Sup/com:Sub2/com:I/text()
b/sup/sub2/o	com:B/com:Sup/com:Sub2/com:O
b/sup/sub2/o/text()	com:B/com:Sup/com:Sub2/com:O/text()
b/sub	com:B/com:Sup
b/sub/text()	com:B/com:Sup/text()
b/sub/b	com:B/com:Sub/com:B
b/sub/b/text()	com:B/com:Sub/com:B/text()
b/sub/u	com:B/com:Sub/com:U
b/sub/u/text()	com:B/com:Sub/com:U/text()
b/sub/i	com:B/com:Sub/com:I
b/sub/i/text()	com:B/com:Sub/com:I/text()
b/sub/o	com:B/com:Sub/com:O
b/sub/o/text()	com:B/com:Sub/com:O/text()
b/sub/sup2	com:B/com:Sub/com:Sup2
b/sub/sup2/text()	com:B/com:Sub/com:Sup2/text()
b/sub/sup2/b	com:B/com:Sub/com:Sup2/com:B
b/sub/sup2/b/text()	com:B/com:Sub/com:Sup2/com:B/text()
b/sub/sup2/u	com:B/com:Sub/com:Sup2/com:U
b/sub/sup2/u/text()	com:B/com:Sub/com:Sup2/com:U/text()
b/sub/sup2/i	com:B/com:Sub/com:Sup2/com:I
b/sub/sup2/i/text()	com:B/com:Sub/com:Sup2/com:I/text()
b/sub/sup2/o	com:B/com:Sub/com:Sup2/com:O
b/sub/sup2/o/text()	com:B/com:Sub/com:Sup2/com:O/text()
b/sub/sub2	com:B/com:Sub/com:Sub2
b/sub/sub2/text()	com:B/com:Sub/com:Sub2/text()
b/sub/sub2/b	com:B/com:Sub/com:Sub2/com:B
b/sub/sub2/b/text()	com:B/com:Sub/com:Sub2/com:B/text()
b/sub/sub2/u	com:B/com:Sub/com:Sub2/com:U
b/sub/sub2/u/text()	com:B/com:Sub/com:Sub2/com:U/text()
b/sub/sub2/i	com:B/com:Sub/com:Sub2/com:I
b/sub/sub2/i/text()	com:B/com:Sub/com:Sub2/com:I/text()
b/sub/sub2/o	com:B/com:Sub/com:Sub2/com:O
b/sub/sub2/o/text()	com:B/com:Sub/com:Sub2/com:O/text()
i	com:I
i/text()	com:I/text()
i/b	com:I/com:B
i/u	com:I/com:U/com:B/com:U
i/o	com:I/com:O
i/smallcaps	com:I/com:SmallCapital
i/sup	com:I/com:Sup
i/sub	com:I/com:Sub
li	com:LI
li/@id	com:LI/@com:id
li/@num	com:LI/@com:liNumber
li/text()	com:LI/text()
li/b	com:LI/com:B
li/b/text()	com:LI/com:B/text()
li/b/i	com:LI/com:B/com:I
li/b/i/text()	com:LI/com:B/com:I/text()
li/b/u	com:LI/com:B/com:U
li/b/u/text()	com:LI/com:B/com:U/text()
li/b/o	com:LI/com:B/com:O
li/b/o/text()	com:LI/com:B/com:O/text()
li/b/sup	com:LI/com:B/com:Sup
li/b/sup/text()	com:LI/com:B/com:Sup/text()
li/b/sub	com:LI/com:B/com:Sub
li/b/sub/text()	com:LI/com:B/com:Sub/text()
li/i	com:LI/com:I
li/i/text()	com:LI/com:I/text()
li/i/b	com:LI/com:I/com:B
li/i/b/text()	com:LI/com:I/com:B/text()
li/i/u	com:LI/com:I/com:U
li/i/u/text()	com:LI/com:I/com:U/text()
li/i/o	com:LI/com:I/com:O
li/i/o/text()	com:LI/com:I/com:O/text()
li/i/sup	com:LI/com:I/com:Sup
li/i/sup/text()	com:LI/com:I/com:Sup/text()
li/i/sub	com:LI/com:I/com:Sub
li/i/sub/text()	com:LI/com:I/com:Sub/text()
li/u	com:LI/com:U
li/u/text()	com:LI/com:U/text()
li/u/b	com:LI/com:U/com:B
li/u/b/text()	com:LI/com:U/com:B/text()
